Date,Comparison_Type
20200101,139
20200102,61
20200103,19
20200104,7
20200105,7
20200106,13
20200107,7
20200108,13
20200109,14
20200110,18
20200111,5
20200112,6
20200113,12
20200114,14
20200115,18
20200116,8
20200117,17
20200118,2
20200119,3
20200120,19
20200121,17
20200122,28
20200123,19
20200124,16
20200125,7
20200126,4
20200127,18
20200128,15
20200129,14
20200130,27
20200131,31
20200201,174
20200202,8
20200203,18
20200204,16
20200205,21
20200206,21
20200207,18
20200208,6
20200209,7
20200210,28
20200211,21
20200212,15
20200213,25
20200214,23
20200215,11
20200216,4
20200217,12
20200218,17
20200219,26
20200220,26
20200221,17
20200222,8
20200223,6
20200224,24
20200225,26
20200226,14
20200227,28
20200228,19
20200229,10
20200301,195
20200302,19
20200303,36
20200304,25
20200305,17
20200306,21
20200307,4
20200308,3
20200309,24
20200310,12
20200311,29
20200312,17
20200313,13
20200314,13
20200315,7
20200316,20
20200317,29
20200318,19
20200319,20
20200320,21
20200321,4
20200322,7
20200323,24
20200324,14
20200325,26
20200326,15
20200327,16
20200328,6
20200329,3
20200330,26
20200331,32
20200401,164
20200402,27
20200403,29
20200404,8
20200405,10
20200406,19
20200407,22
20200408,20
20200409,28
20200410,15
20200411,7
20200412,4
20200413,17
20200414,23
20200415,31
20200416,17
20200417,18
20200418,8
20200419,7
20200420,28
20200421,33
20200422,14
20200423,10
20200424,21
20200425,17
20200426,11
20200427,19
20200428,18
20200429,20
20200430,34
20200501,481
20200502,9
20200503,13
20200504,24
20200505,14
20200506,22
20200507,23
20200508,10
20200509,4
20200510,16
20200511,32
20200512,26
20200513,27
20200514,25
20200515,39
20200516,19
20200517,14
20200518,39
20200519,31
20200520,29
20200521,25
20200522,25
20200523,8
20200524,12
20200525,128
20200526,27
20200527,27
20200528,31
20200529,24
20200530,8
20200531,12
20200601,185
20200602,32
20200603,22
20200604,26
20200605,27
20200606,9
20200607,5
20200608,20
20200609,17
20200610,20
20200611,24
20200612,30
20200613,6
20200614,7
20200615,24
20200616,22
20200617,18
20200618,19
20200619,20
20200620,8
20200621,3
20200622,13
20200623,18
20200624,19
20200625,31
20200626,16
20200627,7
20200628,5
20200629,15
20200630,53
20200701,221
20200702,43
20200703,32
20200704,5
20200705,3
20200706,18
20200707,20
20200708,17
20200709,28
20200710,29
20200711,6
20200712,9
20200713,21
20200714,24
20200715,25
20200716,32
20200717,19
20200718,5
20200719,9
20200720,16
20200721,17
20200722,35
20200723,13
20200724,22
20200725,14
20200726,7
20200727,17
20200728,30
20200729,21
20200730,24
20200731,21
20200801,111
20200802,1
20200803,28
20200804,21
20200805,28
20200806,24
20200807,21
20200808,14
20200809,7
20200810,18
20200811,26
20200812,30
20200813,17
20200814,18
20200815,10
20200816,6
20200817,31
20200818,17
20200819,14
20200820,18
20200821,8
20200822,3
20200823,9
20200824,11
20200825,21
20200826,9
20200827,24
20200828,15
20200829,8
20200830,14
20200831,18
20200901,147
20200902,28
20200903,25
20200904,24
20200905,7
20200906,9
20200907,13
20200908,21
20200909,18
20200910,28
20200911,12
20200912,7
20200913,7
20200914,17
20200915,22
20200916,14
20200917,10
20200918,17
20200919,5
20200920,6
20200921,22
20200922,22
20200923,19
20200924,27
20200925,20
20200926,14
20200927,6
20200928,15
20200929,13
20200930,35
20201001,122
20201002,16
20201003,5
20201004,7
20201005,22
20201006,25
20201007,40
20201008,16
20201009,20
20201010,7
20201011,9
20201012,27
20201013,20
20201014,21
20201015,21
20201016,27
20201017,8
20201018,5
20201019,27
20201020,40
20201021,57
20201022,46
20201023,35
20201024,19
20201025,331
20201026,31
20201027,40
20201028,34
20201029,25
20201030,30
20201031,16
20201101,136
20201102,26
20201103,28
20201104,27
20201105,46
20201106,30
20201107,9
20201108,11
20201109,28
20201110,20
20201111,24
20201112,15
20201113,20
20201114,8
20201115,6
20201116,30
20201117,28
20201118,17
20201119,10
20201120,29
20201121,5
20201122,4
20201123,27
20201124,18
20201125,26
20201126,17
20201127,13
20201128,10
20201129,6
20201130,35
20201201,142
20201202,19
20201203,23
20201204,21
20201205,5
20201206,5
20201207,55
20201208,21
20201209,10
20201210,25
20201211,19
20201212,4
20201213,4
20201214,32
20201215,37
20201216,21
20201217,25
20201218,18
20201219,4
20201220,2
20201221,15
20201222,24
20201223,17
20201224,30
20201225,7
20201226,7
20201227,10
20201228,11
20201229,25
20201230,17
20201231,45
20210101,131
20210102,30
20210103,7
20210104,26
20210105,19
20210106,19
20210107,16
20210108,22
20210109,7
20210110,20
20210111,22
20210112,28
20210113,17
20210114,21
20210115,20
20210116,12
20210117,9
20210118,20
20210119,59
20210120,30
20210121,31
20210122,18
20210123,9
20210124,51
20210125,20
20210126,36
20210127,23
20210128,29
20210129,13
20210130,17
20210131,20
20210201,122
20210202,20
20210203,36
20210204,19
20210205,27
20210206,6
20210207,12
20210208,24
20210209,24
20210210,22
20210211,22
20210212,33
20210213,12
20210214,7
20210215,27
20210216,29
20210217,18
20210218,28
20210219,35
20210220,11
20210221,4
20210222,23
20210223,25
20210224,31
20210225,30
20210226,19
20210227,12
20210228,21
20210301,138
20210302,19
20210303,20
20210304,36
20210305,20
20210306,7
20210307,5
20210308,28
20210309,26
20210310,23
20210311,22
20210312,17
20210313,5
20210314,9
20210315,26
20210316,32
20210317,14
20210318,27
20210319,26
20210320,7
20210321,7
20210322,34
20210323,26
20210324,40
20210325,25
20210326,39
20210327,9
20210328,9
20210329,27
20210330,29
20210331,52
20210401,114
20210402,21
20210403,33
20210404,6
20210405,26
20210406,35
20210407,31
20210408,45
20210409,36
20210410,6
20210411,9
20210412,32
20210413,15
20210414,24
20210415,36
20210416,25
20210417,12
20210418,7
20210419,30
20210420,21
20210421,20
20210422,25
20210423,25
20210424,9
20210425,12
20210426,22
20210427,30
20210428,32
20210429,26
20210430,26
20210501,67
20210502,4
20210503,15
20210504,28
20210505,27
20210506,50
20210507,18
20210508,20
20210509,5
20210510,17
20210511,12
20210512,27
20210513,28
20210514,18
20210515,3
20210516,3
20210517,17
20210518,29
20210519,21
20210520,20
20210521,16
20210522,8
20210523,5
20210524,24
20210525,29
20210526,19
20210527,22
20210528,28
20210529,3
20210530,15
20210531,30
20210601,133
20210602,29
20210603,33
20210604,20
20210605,9
20210606,205
20210607,18
20210608,25
20210609,20
20210610,20
20210611,30
20210612,8
20210613,6
20210614,51
20210615,30
20210616,36
20210617,32
20210618,17
20210619,8
20210620,7
20210621,31
20210622,31
20210623,21
20210624,27
20210625,23
20210626,12
20210627,5
20210628,34
20210629,30
20210630,49
20210701,98
20210702,23
20210703,16
20210704,6
20210705,22
20210706,29
20210707,20
20210708,25
20210709,33
20210710,14
20210711,9
20210712,16
20210713,18
20210714,17
20210715,29
20210716,17
20210717,5
20210718,19
20210719,20
20210720,17
20210721,21
20210722,9
20210723,33
20210724,8
20210725,3
20210726,32
20210727,30
20210728,20
20210729,24
20210730,21
20210731,17
20210801,90
20210802,21
20210803,21
20210804,23
20210805,19
20210806,21
20210807,10
20210808,6
20210809,21
20210810,15
20210811,10
20210812,23
20210813,12
20210814,6
20210815,5
20210816,27
20210817,16
20210818,21
20210819,11
20210820,10
20210821,8
20210822,11
20210823,41
20210824,17
20210825,25
20210826,39
20210827,21
20210828,8
20210829,12
20210830,293
20210831,26
20210901,102
20210902,18
20210903,12
20210904,5
20210905,5
20210906,22
20210907,23
20210908,16
20210909,26
20210910,17
20210911,9
20210912,6
20210913,22
20210914,31
20210915,25
20210916,23
20210917,13
20210918,6
20210919,6
20210920,23
20210921,23
20210922,25
20210923,17
20210924,22
20210925,7
20210926,6
20210927,21
20210928,28
20210929,21
20210930,30
20211001,97
20211002,9
20211003,5
20211004,16
20211005,19
20211006,26
20211007,43
20211008,25
20211009,17
20211010,9
20211011,23
20211012,31
20211013,48
20211014,21
20211015,26
20211016,6
20211017,30
20211018,29
20211019,18
20211020,20
20211021,20
20211022,9
20211023,14
20211024,3
20211025,31
20211026,23
20211027,19
20211028,15
20211029,19
20211030,7
20211031,20
20211101,112
20211102,21
20211103,22
20211104,18
20211105,27
20211106,8
20211107,8
20211108,12
20211109,16
20211110,26
20211111,22
20211112,16
20211113,5
20211114,6
20211115,23
20211116,16
20211117,10
20211118,51
20211119,11
20211120,10
20211121,1
20211122,11
20211123,21
20211124,20
20211125,12
20211126,15
20211127,7
20211128,2
20211129,15
20211130,18
20211201,118
20211202,8
20211203,10
20211204,10
20211205,6
20211206,24
20211207,15
20211208,17
20211209,16
20211210,27
20211211,9
20211212,2
20211213,60
20211214,42
20211215,23
20211216,20
20211217,16
20211218,6
20211219,5
20211220,16
20211221,11
20211222,12
20211223,15
20211224,7
20211225,3
20211226,8
20211227,16
20211228,15
20211229,8
20211230,21
20211231,21
20220101,166
20220102,28
20220103,21
20220104,33
20220105,14
20220106,17
20220107,27
20220108,8
20220109,8
20220110,22
20220111,16
20220112,15
20220113,16
20220114,16
20220115,12
20220116,6
20220117,11
20220118,18
20220119,13
20220120,41
20220121,29
20220122,10
20220123,3
20220124,24
20220125,43
20220126,26
20220127,34
20220128,34
20220129,13
20220130,13
20220131,39
20220201,106
20220202,15
20220203,21
20220204,16
20220205,10
20220206,9
20220207,23
20220208,23
20220209,14
20220210,20
20220211,17
20220212,13
20220213,15
20220214,31
20220215,35
20220216,30
20220217,29
20220218,11
20220219,7
20220220,5
20220221,36
20220222,39
20220223,27
20220224,30
20220225,26
20220226,17
20220227,10
20220228,42
20220301,158
20220302,28
20220303,26
20220304,26
20220305,9
20220306,4
20220307,45
20220308,24
20220309,24
20220310,32
20220311,15
20220312,6
20220313,4
20220314,20
20220315,29
20220316,12
20220317,20
20220318,30
20220319,9
20220320,7
20220321,33
20220322,39
20220323,24
20220324,42
20220325,37
20220326,14
20220327,10
20220328,43
20220329,48
20220330,56
20220331,76
20220401,187
20220402,14
20220403,10
20220404,32
20220405,29
20220406,23
20220407,40
20220408,31
20220409,9
20220410,5
20220411,24
20220412,24
20220413,27
20220414,16
20220415,24
20220416,3
20220417,3
20220418,17
20220419,22
20220420,28
20220421,27
20220422,30
20220423,9
20220424,15
20220425,33
20220426,20
20220427,27
20220428,19
20220429,33
20220430,29
20220501,91
20220502,24
20220503,14
20220504,28
20220505,18
20220506,20
20220507,6
20220508,5
20220509,31
20220510,17
20220511,21
20220512,18
20220513,23
20220514,6
20220515,9
20220516,27
20220517,20
20220518,19
20220519,22
20220520,14
20220521,10
20220522,8
20220523,323
20220524,22
20220525,30
20220526,19
20220527,27
20220528,5
20220529,11
20220530,22
20220531,36
20220601,108
20220602,16
20220603,19
20220604,4
20220605,6
20220606,20
20220607,20
20220608,10
20220609,17
20220610,13
20220611,6
20220612,5
20220613,20
20220614,17
20220615,28
20220616,25
20220617,19
20220618,11
20220619,7
20220620,25
20220621,20
20220622,27
20220623,36
20220624,27
20220625,9
20220626,14
20220627,36
20220628,43
20220629,36
20220630,87
20220701,123
20220702,12
20220703,18
20220704,22
20220705,30
20220706,15
20220707,22
20220708,19
20220709,7
20220710,2
20220711,24
20220712,25
20220713,23
20220714,24
20220715,21
20220716,2
20220717,5
20220718,32
20220719,18
20220720,26
20220721,11
20220722,31
20220723,10
20220724,6
20220725,21
20220726,13
20220727,12
20220728,23
20220729,11
20220730,17
20220731,18
20220801,92
20220802,19
20220803,16
20220804,18
20220805,15
20220806,5
20220807,1
20220808,12
20220809,12
20220810,13
20220811,13
20220812,9
20220813,6
20220814,7
20220815,16
20220816,10
20220817,20
20220818,15
20220819,11
20220820,8
20220821,12
20220822,17
20220823,21
20220824,26
20220825,24
20220826,26
20220827,6
20220828,15
20220829,45
20220830,14
20220831,28
20220901,93
20220902,11
20220903,7
20220904,9
20220905,26
20220906,18
20220907,7
20220908,11
20220909,17
20220910,5
20220911,3
20220912,17
20220913,22
20220914,21
20220915,32
20220916,11
20220917,6
20220918,220
20220919,16
20220920,16
20220921,18
20220922,14
20220923,21
20220924,14
20220925,4
20220926,18
20220927,24
20220928,10
20220929,12
20220930,48
20221001,119
20221002,3
20221003,28
20221004,10
20221005,14
20221006,17
20221007,13
20221008,3
20221009,4
20221010,30
20221011,13
20221012,14
20221013,21
20221014,19
20221015,7
20221016,9
20221017,14
20221018,24
20221019,12
20221020,17
20221021,23
20221022,10
20221023,7
20221024,26
20221025,31
20221026,23
20221027,54
20221028,34
20221029,5
20221030,12
20221031,48
20221101,102
20221102,23
20221103,19
20221104,25
20221105,10
20221106,5
20221107,80
20221108,18
20221109,23
20221110,16
20221111,22
20221112,2
20221113,4
20221114,31
20221115,13
20221116,17
20221117,17
20221118,17
20221119,2
20221120,5
20221121,17
20221122,17
20221123,33
20221124,28
20221125,11
20221126,6
20221127,3
20221128,15
20221129,19
20221130,35
20221201,91
20221202,11
20221203,5
20221204,6
20221205,19
20221206,22
20221207,16
20221208,18
20221209,18
20221210,13
20221211,40
20221212,11
20221213,12
20221214,18
20221215,12
20221216,29
20221217,7
20221218,0
20221219,13
20221220,22
20221221,10
20221222,12
20221223,9
20221224,4
20221225,4
20221226,7
20221227,10
20221228,21
20221229,19
20221230,26
20221231,33
20230101,238
20230102,38
20230103,38
20230104,24
20230105,50
20230106,27
20230107,5
20230108,13
20230109,63
20230110,39
20230111,31
20230112,41
20230113,17
20230114,9
20230115,18
20230116,33
20230117,44
20230118,27
20230119,36
20230120,37
20230121,13
20230122,7
20230123,27
20230124,40
20230125,34
20230126,42
20230127,29
20230128,20
20230129,13
20230130,48
20230131,56
20230201,179
20230202,40
20230203,20
20230204,10
20230205,16
20230206,25
20230207,58
20230208,31
20230209,41
20230210,25
20230211,25
20230212,11
20230213,23
20230214,35
20230215,47
20230216,44
20230217,39
20230218,13
20230219,10
20230220,42
20230221,33
20230222,32
20230223,31
20230224,3
20230225,1
20230226,0
20230227,5
20230228,10
20230301,19
20230302,1
20230303,0
20230304,0
20230305,0
20230306,0
20230307,0
20230308,0
20230309,0
20230310,0
20230311,0
20230312,0
20230313,0
20230314,0
20230315,0
20230316,0
20230317,0
20230318,0
20230319,0
20230320,0
20230321,0
20230322,0
20230323,0
20230324,0
20230325,0
20230326,0
20230327,0
20230328,0
20230329,0
20230330,0
20230331,3
20230401,5
20230402,0
20230403,0
20230404,0
20230405,0
20230406,0
20230407,0
20230408,0
20230409,0
20230410,0
20230411,0
20230412,0
20230413,0
20230414,0
20230415,0
20230416,0
20230417,0
20230418,0
20230419,0
20230420,0
20230421,0
20230422,0
20230423,0
20230424,0
20230425,0
20230426,0
20230427,0
20230428,0
20230429,0
20230430,0
20230501,3
20230502,0
20230503,0
20230504,0
20230505,0
20230506,0
20230507,0
20230508,0
20230509,0
20230510,0
20230511,0
20230512,0
20230513,0
20230514,0
20230515,0
20230516,0
20230517,0
20230518,0
20230519,0
20230520,0
20230521,0
20230522,0
20230523,0
20230524,0
20230525,0
20230526,0
20230527,0
20230528,0
20230529,0
20230530,0
20230531,0
20230601,0
20230602,0
20230603,0
20230604,0
20230605,0
20230606,0
20230607,0
20230608,0
20230609,0
20230610,0
20230611,0
20230612,0
20230613,0
20230614,0
20230615,0
20230616,0
20230617,0
20230618,0
20230619,0
20230620,0
20230621,0
20230622,0
20230623,0
20230624,0
20230625,0
20230626,0
20230627,0
20230628,0
20230629,0
20230630,0
20230701,0
20230702,0
20230703,0
20230704,0
20230705,0
20230706,0
20230707,0
20230708,0
20230709,0
20230710,0
20230711,0
20230712,0
20230713,0
20230714,0
20230715,0
20230716,0
20230717,0
20230718,0
20230719,0
20230720,0
20230721,0
20230722,0
20230723,0
20230724,0
20230725,0
20230726,0
20230727,0
20230728,0
20230729,0
20230730,0
20230731,0
20230801,0
20230802,0
20230803,0
20230804,0
20230805,0
20230806,0
20230807,0
20230808,0
20230809,0
20230810,0
20230811,0
20230812,0
20230813,0
20230814,0
20230815,0
20230816,0
20230817,0
20230818,0
20230819,0
20230820,0
20230821,0
20230822,0
20230823,0
20230824,0
20230825,0
20230826,0
20230827,0
20230828,0
20230829,0
20230830,0
20230831,0
20230901,0
20230902,0
20230903,0
20230904,0
20230905,0
20230906,0
20230907,0
20230908,0
20230909,0
20230910,0
20230911,0
20230912,0
20230913,0
20230914,0
20230915,0
20230916,0
20230917,0
20230918,0
20230919,0
20230920,0
20230921,0
20230922,0
20230923,0
20230924,0
20230925,0
20230926,0
20230927,0
20230928,0
20230929,0
20230930,0
20231001,0
20231002,0
20231003,0
20231004,0
20231005,0
20231006,0
20231007,0
20231008,0
20231009,0
20231010,0
20231011,0
20231012,0
20231013,0
20231014,0
20231015,0
20231016,0
20231017,0
20231018,0
20231019,0
20231020,0
20231021,0
20231022,0
20231023,0
20231024,0
20231025,0
20231026,0
20231027,0
20231028,0
20231029,0
20231030,0
20231031,0
20231101,0
20231102,0
20231103,0
20231104,0
20231105,0
20231106,0
20231107,0
20231108,0
20231109,0
20231110,0
20231111,0
20231112,0
20231113,0
20231114,0
20231115,0
20231116,0
20231117,0
20231118,0
20231119,0
20231120,0
20231121,0
20231122,0
20231123,0
20231124,0
20231125,0
20231126,0
20231127,0
20231128,0
20231129,0
20231130,0
20231201,0
20231202,0
20231203,0
20231204,0
20231205,0
20231206,0
20231207,0
20231208,0
20231209,0
20231210,0
20231211,0
20231212,0
20231213,0
20231214,0
20231215,0
20231216,0
20231217,0
20231218,0
20231219,0
20231220,0
20231221,0
20231222,0
20231223,0
20231224,0
20231225,0
20231226,0
20231227,0
20231228,0
20231229,0
20231230,0
20231231,0
