Chao Yang,Bo Li,Yu Zhang,Nanxin Chen,Rohit Prabhavalkar,Trevor Strohman
Bo Li,DongSeon Hwang,Zhouyuan Huo,Junwen Bai,Guru Prakash,K. Sim,Yu Zhang,Wei Han,Trevor Strohman,F. Beaufays
Tsendsuren Munkhdalai,Zelin Wu,G. Pundak,K. Sim,Jiayang Li,Pat Rondon
Zhong Meng,Weiran Wang,Rohit Prabhavalkar,Tongzhou Chen,Ehsan Variani,Yu Zhang,Bo Li,A. Rosenberg,B. Ramabhadran
Cal Peyser,W. R. Huang,Rohit Prabhavalkar,M. Picheny,K. Cho
Ke Hu,Bo Li,Nan Du,Yanping Huang,Andrew M. Dai,Yu Zhang,Rodrigo Cabrera,Z. Chen,Trevor Strohman
Chaoyang Zhang,Bo Li,Trevor Strohman,Shuo-yiin Chang
Sepand Mavandadi,Bo Li,Chaoyang Zhang,B. Farris,Trevor Strohman
Yanzhang He,A. Narayanan,Rami Botros,Weiran Wang,David Qiu,C. Chiu,Rohit Prabhavalkar,Alexander Gruenstein,Anmol Gulati,Bo Li,David Rybach,Emmanuel Guzman,Ian McGraw,James Qin,K. Choromanski,Qiao Liang,R. David,Ruoming Pang,Shuo-yiin Chang,Trevor Strohman,W. R. Huang,Wei Han,Yonghui Wu,Yu Zhang
Hung-yi Lee,Abdel-rahman Mohamed,Shinji Watanabe,Karen Livescu,Shang-Wen Li,Shu-wen Yang,Katrin Kirchhoff
Rohit Prabhavalkar,Ankur Bapna,Yu Zhang,Zhouyuan Huo,Zhehuai Chen,Bo Li,Weiran Wang,Trevor Strohman
Abdel-rahman Mohamed,Hung-yi Lee,Lasse Borgholt,Jakob Drachmann Havtorn,Joakim Edin,C. Igel,Katrin Kirchhoff,Shang-Wen Li,Karen Livescu,Lars Maaløe,Shinji Watanabe
C. Yang,Bo Li,Yu Zhang,Nanxin Chen,S. M. Siniscalchi,Chin-Hui Lee
W. R. Huang,Shuo-yiin Chang,David Rybach,Rohit Prabhavalkar,Cyril Allauzen,Cal Peyser,Zhiyun Lu
Chao Zhang,Bo Li,Zhiyun Lu,Shuo-yiin Chang
Shaojin Ding,Weiran Wang,Ding Zhao,Yanzhang He,R. David,Rami Botros,Xin Wang,R. Panigrahy,Qiao Liang,Dongseong Hwang,Ian McGraw,Rohit Prabhavalkar,Trevor Strohman
Weiran Wang,Ke Hu
W. R. Huang,Cal Peyser,Ruoming Pang,Trevor Strohman,Shankar Kumar
Shuo-yiin Chang,Guru Prakash,Zelin Wu,Qiao Liang,Bo Li,A. Stambler,Shyam Upadhyay,Manaal Faruqui,Trevor Strohman
Weiran Wang,Tongzhou Chen,Ehsan Variani,Rohit Prabhavalkar,Ronny Huang,B. Ramabhadran,Neeraj Gaur,Sepand Mavandadi,Cal Peyser,Trevor Strohman,Yanzhang He,David Rybach
C. Zhang,Bo Li,Trevor Strohman,Sepand Mavandadi,Shuo-yiin Chang,Parisa Haghani
Zhouyuan Huo,K. Sim,Bo Li,DongSeon Hwang,Trevor Strohman
W. R. Huang,Shuo-yiin Chang,Yanzhang He,David Rybach,R. David,Rohit Prabhavalkar,Cyril Allauzen,Cal Peyser,Trevor Strohman
Hung-yi Lee,Shinji Watanabe,Karen Livescu,Abdel-rahman Mohamed
Bo Li,Ruoming Pang,Yu Zhang,Trevor Strohman,Parisa Haghani,Yun Zhu,B. Farris,Neeraj Gaur,Manasa Prasad
Ke Hu,A. Narayanan,Ruoming Pang,Trevor Strohman
Bo Li,Ruoming Pang,Shuo-yiin Chang,Qiumin Xu,Trevor Strohman,Vince Chen,Qiao Liang,Heguang Liu,Yanzhang He,Parisa Haghani,Sameer Bidichandani
Shaan Bijwadia,Shuo-yiin Chang,Bo Li,Chaoyang Zhang,Yanzhang He
Ke Hu,Yanzhang He,Rohit Prabhavalkar,Trevor Strohman,Sepand Mavandadi,Weiran Wang
Ke Hu,Bo Li
Shuo-yiin Chang,Bo Li,Chaoyang Zhang,Trevor Strohman,Qiao Liang,Yanzhang He
Yanzhang He,A. Narayanan,Rami Botros,Ruoming Pang,David Rybach,Cyril Allauzen,Ehsan Variani,James Qin,Quoc-Nam Le-The,Shuo-yiin Chang,Bo Li,Anmol Gulati,Jiahui Yu,C. Chiu,D. Caseiro,Wei Li,Qiao Liang,Pat Rondon
W. R. Huang,Cal Peyser,Shankar Kumar,David Rybach,Trevor Strohman
Weiran Wang,Ke Hu
Ke Hu,Ruoming Pang,Trevor Strohman
Yu Zhang,Daniel S. Park,Wei Han,James Qin,Anmol Gulati,Joel Shor,A. Jansen,Yuanzhong Xu,Yanping Huang,Shibo Wang,Zongwei Zhou,Bo Li,Min Ma,William Chan,Jiahui Yu,Yongqiang Wang,Liangliang Cao,K. Sim,B. Ramabhadran,Franccoise Beaufays,Zhifeng Chen,Quoc V. Le,C. Chiu,Ruoming Pang,Yonghui Wu
H. Shrivastava,Ankush Garg,Yuan Cao,Yu Zhang
Rami Botros,R. David,Emmanuel Guzman,Wei Li,Yanzhang He
Sepand Mavandadi,Ke Hu,Zelin Wu
Bo Li,Ruoming Pang,Anmol Gulati,Yu Zhang,James Qin,Parisa Haghani,W. R. Huang,Min Ma
Junwen Bai,Bo Li,Yu Zhang,Ankur Bapna,Nikhil Siddhartha,K. Sim
David Qiu,Qiujia Li,Yanzhang He,Yu Zhang,Bo Li,Liangliang Cao,Rohit Prabhavalkar,Deepti Bhatia,Wei Li,Ke Hu,Ian McGraw
Rohit Prabhavalkar,Yanzhang He,David Rybach,S. Campbell,A. Narayanan,Trevor Strohman
Bo Li,Shuo-yiin Chang,Ruoming Pang,Yanzhang He,Trevor Strohman,Yonghui Wu
C. Chiu,A. Narayanan,Wei Han,Rohit Prabhavalkar,Yu Zhang,N. Jaitly,Ruoming Pang,Patrick Nguyen,Liangliang Cao,Yonghui Wu
Yanzhang He,Bo Li,A. Narayanan,Ruoming Pang,A. Bruguier,Shuo-yiin Chang,Wei Li,R. Álvarez,Z. Chen,C. Chiu,David Garcia,Alexander Gruenstein,Ke Hu,Minho Jin,Anjuli Kannan,Qiao Liang,Ian McGraw,Cal Peyser,Rohit Prabhavalkar,G. Pundak,David Rybach,Yuan Shangguan,Y. Sheth,Trevor Strohman,Mirkó Visontai,Yonghui Wu,Yu Zhang,Ding Zhao
Bo Li,Anmol Gulati,Jiahui Yu,C. Chiu,A. Narayanan,Shuo-yiin Chang,Ruoming Pang,Yanzhang He,James Qin,Wei Han,Qiao Liang,Yu Zhang,Trevor Strohman,Yonghui Wu
Shuo-yiin Chang,Bo Li,David Rybach,Yanzhang He,Wei Li,Trevor Strohman
Ruoming Pang,Ron Weiss,Yanzhang He,C. Chiu,Trevor Strohman
Cal Peyser,G. Pundak
Ke Hu,Ruoming Pang,Rohit Prabhavalkar
Jiahui Yu,Wei Han,Anmol Gulati,C. Chiu,Bo Li,Yonghui Wu,Ruoming Pang
Peidong Wang,Ron J. Weiss
Ruoming Pang,David Rybach,Basi García,Trevor Strohman
A. Narayanan,Ruoming Pang,Jiahui Yu,C. Chiu,Rohit Prabhavalkar,Ehsan Variani,Trevor Strohman
Jiahui Yu,C. Chiu,Bo Li,Shuo-yiin Chang,Yanzhang He,A. Narayanan,Wei Han,Anmol Gulati,Yonghui Wu,Ruoming Pang
Cal Peyser,Sepand Mavandadi,J. Apfel,Ruoming Pang,Shankar Kumar
Zelin Wu,Bo Li,Yu Zhang,Petar S. Aleksic
Jiahui Yu,Wei Han,Anmol Gulati,C. Chiu,Bo Li,Yonghui Wu,Ruoming Pang
Ruoming Pang,David Rybach,Yanzhang He,Rohit Prabhavalkar,Wei Li,Mirkó Visontai,Qiao Liang,Trevor Strohman,Yonghui Wu,Ian McGraw,C. Chiu
Bo Li,Ruoming Pang,Zelin Wu
Jinxi Guo,Ron J. Weiss
Anjuli Kannan,A. Datta,Eugene Weinstein,B. Ramabhadran,Yonghui Wu,Ankur Bapna,Z. Chen,Seungjin Lee
A. Narayanan,Rohit Prabhavalkar,C. Chiu,David Rybach,Trevor Strohman
C. Chiu,Wei Han,Yu Zhang,Ruoming Pang,S. Kishchenko,Patrick Nguyen,A. Narayanan,H. Liao,Shuyuan Zhang,Anjuli Kannan,Rohit Prabhavalkar,Z. Chen,Yonghui Wu
A. Bruguier,Rohit Prabhavalkar,G. Pundak
H. Purwins,Bo Li,T. Virtanen,Jan Schl&#x00FC;ter,Shuo-yiin Chang
Shuo-yiin Chang,Rohit Prabhavalkar,Yanzhang He,Gabor Simko
Cal Peyser,Hao Zhang,Zelin Wu
Ding Zhao,David Rybach,Pat Rondon,Deepti Bhatia,Bo Li,Ruoming Pang
Ke Hu,A. Bruguier,Rohit Prabhavalkar,G. Pundak
Jonathan Shen,Patrick Nguyen,Yonghui Wu,Z. Chen,M. Chen,Ye Jia,Anjuli Kannan,Yuan Cao,C. Chiu,Yanzhang He,J. Chorowski,Smit Hinsu,Stella Laurenzo,James Qin,Orhan Firat,Wolfgang Macherey,Suyog Gupta,Ankur Bapna,Shuyuan Zhang,Ruoming Pang,Ron J. Weiss,Rohit Prabhavalkar,Qiao Liang,Benoit Jacob,Bowen Liang,HyoukJoong Lee,Ciprian Chelba,Sébastien Jean,Bo Li,Melvin Johnson,Rohan Anil,Rajat Tibrewal,Xiaobing Liu,Akiko Eriguchi,N. Jaitly,Naveen Ari,Colin Cherry,Parisa Haghani,Otavio Good,Youlong Cheng,R. Álvarez,Isaac Caswell,Wei-Ning Hsu,Zongheng Yang,Kuan Wang,Ekaterina Gonina,Katrin Tomanek,Ben Vanik,Zelin Wu,Llion Jones,M. Schuster,Yanping Huang,Dehao Chen,Kazuki Irie,George F. Foster,J. Richardson,Uri Alon,Klaus Macherey,A. Bruguier,H. Zen,Colin Raffel,Shankar Kumar,Kanishka Rao,David Rybach,M. Murray,Vijayaditya Peddinti,M. Krikun,M. Bacchiani,T. Jablin,Robert Suderman,Ian Williams,Benjamin Lee,Deepti Bhatia,Justin Carlson,Semih Yavuz,Yu Zhang,Ian McGraw,M. Galkin,Qi Ge,G. Pundak,Chad Whipkey,Todd Wang,Uri Alon,Dmitry Lepikhin,Ye Tian,S. Sabour,William Chan,Shubham Toshniwal,Baohua Liao,M. Nirschl,Pat Rondon
K. Sim,A. Narayanan,Ananya Misra,Anshuman Tripathi,G. Pundak,Parisa Haghani,Bo Li,M. Bacchiani
Ian Williams,Anjuli Kannan,Petar S. Aleksic,David Rybach
Shuo-yiin Chang,Bo Li,Gabor Simko,Anshuman Tripathi,Aäron van den Oord,Oriol Vinyals
Bo Li,Yu Zhang,Yonghui Wu,William Chan
Yanzhang He,Rohit Prabhavalkar,Ian McGraw,R. Álvarez,Ding Zhao,David Rybach,Anjuli Kannan,Yonghui Wu,Ruoming Pang,Qiao Liang,Deepti Bhatia,Yuan Shangguan,Bo Li,G. Pundak,K. Sim,Tom Bagby,Shuo-yiin Chang,Kanishka Rao,Alexander Gruenstein
Ruoming Pang,Rohit Prabhavalkar,Suyog Gupta,Yonghui Wu,Shuyuan Zhang,C. Chiu
Chanwoo Kim,A. Narayanan,Ananya Misra,R. Nongpiur,M. Bacchiani
G. Pundak,Rohit Prabhavalkar,Anjuli Kannan,Ding Zhao
Jahn Heymann,M. Bacchiani
C. Chiu,Rohit Prabhavalkar,Anjuli Kannan,Yonghui Wu,Patrick Nguyen,Z. Chen
Shubham Toshniwal,Anjuli Kannan,C. Chiu,Yonghui Wu,Karen Livescu
Uri Alon,G. Pundak
Rohit Prabhavalkar,Yonghui Wu,Patrick Nguyen,Z. Chen,C. Chiu,Anjuli Kannan
Ron J. Weiss,K. Wilson,Bo Li,A. Narayanan,Ehsan Variani,M. Bacchiani,I. Shafran,A. Senior,K. K. Chin,Ananya Misra,Chanwoo Kim
Bo Li,A. Narayanan,J. Caroselli,M. Bacchiani,Ananya Misra,I. Shafran,H. Sak,G. Pundak,K. K. Chin,K. Sim,Ron J. Weiss,K. Wilson,Ehsan Variani,Chanwoo Kim,O. Siohan,M. Weintraub,E. McDermott,R. Rose,Matt Shannon
Vijayaditya Peddinti,O. Siohan,A. Narayanan
Shubham Toshniwal,Ron J. Weiss,Bo Li,P. Moreno,Eugene Weinstein,Kanishka Rao
Shuo-yiin Chang,Bo Li,Gabor Simko,Carolina Parada
Anjuli Kannan,Yonghui Wu,Patrick Nguyen,Z. Chen,Rohit Prabhavalkar
Chanwoo Kim,Ananya Misra,K. K. Chin,Thad Hughes,A. Narayanan,M. Bacchiani
K. Sim,A. Narayanan,Tom Bagby,M. Bacchiani
Rohit Prabhavalkar,Kanishka Rao,Bo Li,Leif M. Johnson,N. Jaitly
Rohit Prabhavalkar,Shankar Kumar,Seungjin Lee,Anjuli Kannan,David Rybach,Vlad Schogol,Patrick Nguyen,Bo Li,Yonghui Wu,Z. Chen,C. Chiu
Phu K. Nguyen,D. Zand
C. Chiu,Yonghui Wu,Rohit Prabhavalkar,Patrick Nguyen,Z. Chen,Anjuli Kannan,Ron J. Weiss,Kanishka Rao,Katya Gonina,N. Jaitly,Bo Li,J. Chorowski,M. Bacchiani
Bo Li
Rohit Prabhavalkar,Bo Li,Kanishka Rao,N. Jaitly
Bo Li,K. Sim,M. Bacchiani,Eugene Weinstein,Patrick Nguyen,Z. Chen,Yan-Qing Wu,Kanishka Rao
Ron J. Weiss,K. Wilson,A. Narayanan,M. Bacchiani,Bo Li,Ehsan Variani,I. Shafran,A. Senior,K. K. Chin,Ananya Misra,Chanwoo Kim
G. Pundak
Rubén Zazo-Candil,Gabor Simko,Carolina Parada
Zhiyun Lu,V. Sindhwani
Bo Li
D. Kanevsky
A. Narayanan,Ron J. Weiss,Ehsan Variani,K. Wilson,M. Bacchiani,I. Shafran
Ron J. Weiss,K. Wilson,A. Narayanan,M. Bacchiani
Bo Li,Ron J. Weiss,K. Wilson,M. Bacchiani
G. Pundak
Ehsan Variani,I. Shafran,M. Bacchiani
A. Senior,H. Sak,F. D. C. Quitry,Kanishka Rao
Rohit Prabhavalkar,R. Álvarez,Carolina Parada,Preetum Nakkiran
Ron J. Weiss,K. Wilson,A. Narayanan,M. Bacchiani,A. Senior
Guoguo Chen,Carolina Parada
Brian Kingsbury,G. Saon,H. Soltau,Abdel-rahman Mohamed,George E. Dahl,B. Ramabhadran
H. Liao,G. Pundak,O. Siohan,M. K. Carroll,N. Coccaro,Q. Jiang,A. Senior,F. Beaufays,M. Bacchiani
V. Sindhwani,Sanjiv Kumar
Carolina Parada
Oriol Vinyals,A. Senior,H. Sak
Yu-hsin Chen,I. Lopez-Moreno,Mirkó Visontai,R. Álvarez,Carolina Parada
Ron J. Weiss,A. Senior,K. Wilson,Oriol Vinyals
Vijayaditya Peddinti,Brian Kingsbury,P. Fousek,B. Ramabhadran,D. Nahamoo
Vijayaditya Peddinti,S. Maymon,B. Ramabhadran,D. Nahamoo,V. Goel
H. Soltau,G. Saon
Brian Kingsbury,Abdel-rahman Mohamed,G. Saon,B. Ramabhadran
Po-Sen Huang,H. Avron,V. Sindhwani,B. Ramabhadran
I. Chung,B. Ramabhadran,M. Picheny,John A. Gunnels,V. Austel,U. Chaudhari,Brian Kingsbury
I. Chung,B. Ramabhadran,M. Picheny,John A. Gunnels,Brian Kingsbury,G. Saon,V. Austel,U. Chaudhari

D. Kanevsky,D. Nahamoo,B. Ramabhadran,Stephen J. Wright
L. Horesh,Brian Kingsbury,A. Aravkin,B. Ramabhadran
George E. Dahl,Geoffrey E. Hinton
Rohit Prabhavalkar,D. Nahamoo,B. Ramabhadran,D. Kanevsky
Abdel-rahman Mohamed,Brian Kingsbury,B. Ramabhadran
Brian Kingsbury,V. Sindhwani,E. Arisoy,B. Ramabhadran
Brian Kingsbury,H. Soltau,B. Ramabhadran
Brian Kingsbury,Abdel-rahman Mohamed,George E. Dahl,G. Saon,H. Soltau,T. Beran,A. Aravkin,B. Ramabhadran
Brian Kingsbury,Abdel-rahman Mohamed,B. Ramabhadran
Jia Cui,Xiaodong Cui,B. Ramabhadran,Janice Kim,Brian Kingsbury,Jonathan Mamou,L. Mangu,M. Picheny,A. Sethy
L. Horesh,Brian Kingsbury,A. Aravkin,B. Ramabhadran
Geoffrey E. Hinton,L. Deng,Dong Yu,George E. Dahl,Abdel-rahman Mohamed,N. Jaitly,A. Senior,Vincent Vanhoucke,Patrick Nguyen,Brian Kingsbury
Brian Kingsbury,B. Ramabhadran
N. Itoh,Dan-Ning Jiang,Jie Zhou,B. Ramabhadran
B. Ramabhadran,D. Nahamoo,D. Kanevsky,Dirk Van Compernolle,Kris Demuynck,J. Gemmeke,J. Bellegarda,Shiva Sundaram
Geoffrey E. Hinton,Liya Deng,Dong Yu,George E. Dahl,Abdel-rahman Mohamed,N. Jaitly,A. Senior,Vincent Vanhoucke,Patrick Nguyen,Brian Kingsbury
D. Nahamoo,D. Kanevsky,B. Ramabhadran
E. Arisoy,Brian Kingsbury,B. Ramabhadran
Christian Plahl,B. Ramabhadran,D. Nahamoo
Brian Kingsbury,H. Soltau
D. Kanevsky,J. Kozloski,C. Pickover
Geoffrey E. Hinton,L. Deng,Dong Yu,George E. Dahl,Abdel-rahman Mohamed,N. Jaitly,A. Senior,Vincent Vanhoucke,Patrick Nguyen,Brian Kingsbury
Bin Zhang,A. Sethy,B. Ramabhadran
D. Nahamoo,B. Ramabhadran,D. Kanevsky,V. Goel,P. Shah
B. Ramabhadran,M. Picheny,D. Nahamoo,D. Kanevsky
D. Nahamoo,D. Kanevsky,B. Ramabhadran,P. Shah
B. Ramabhadran,D. Nahamoo,D. Kanevsky
Abdel-rahman Mohamed,George E. Dahl,B. Ramabhadran,Geoffrey E. Hinton,M. Picheny
D. Kanevsky,D. Nahamoo,B. Ramabhadran,P. Olsen
Brian Kingsbury,B. Ramabhadran,P. Fousek,Petr Novák,Abdel-rahman Mohamed
D. Kanevsky,D. Nahamoo,B. Ramabhadran
S. Maskey,D. Kanevsky,B. Ramabhadran,D. Nahamoo,Julia Hirschberg
B. Ramabhadran,D. Nahamoo,D. Kanevsky,A. Sethy
S. Teller,Matthew R. Walter,Matthew E. Antone,A. Correa,R. Davis,L. Fletcher,Emilio Frazzoli,James R. Glass,J. How,Albert S. Huang,Jeong hwan Jeon,S. Karaman,Brandon Luders,N. Roy
D. Nahamoo,B. Ramabhadran,D. Kanevsky
A. Carmi,P. Gurfil,D. Kanevsky,D. Nahamoo,B. Ramabhadran
D. Kanevsky,B. Ramabhadran,D. Nahamoo
A. Carmi,D. Kanevsky,B. Ramabhadran
A. Sethy,B. Ramabhadran,D. Kanevsky
V. Goel,B. Ramabhadran,P. Olsen,D. Nahamoo,D. Kanevsky
D. Kanevsky,A. Carmi,L. Horesh,P. Gurfil,B. Ramabhadran


B. Ramabhadran,M. Picheny
D. Kanevsky,B. Ramabhadran
V. Zue
D. Kanevsky,Daniel Povey,B. Ramabhadran,I. Rish
D. Kanevsky,B. Ramabhadran,D. Nahamoo
D. Kanevsky,B. Ramabhadran
D. Kanevsky,Daniel Povey,B. Ramabhadran
D. Kanevsky,G. Iyengar
V. Zue,D. Kanevsky
D. Kanevsky,B. Ramabhadran
Timothy J. Hazen

S. Seshasai,Amar Gupta
Amar Gupta,S. Seshasai,Jason Yeung
S. Seshasai,Amar Gupta
