Chao Yang,Bo Li,Yu Zhang,Nanxin Chen,Rohit Prabhavalkar,Tara N. Sainath,Trevor Strohman
Bo Li,DongSeon Hwang,Zhouyuan Huo,Junwen Bai,Guru Prakash,Tara N. Sainath,K. Sim,Yu Zhang,Wei Han,Trevor Strohman,F. Beaufays
Tsendsuren Munkhdalai,Zelin Wu,G. Pundak,K. Sim,Jiayang Li,Pat Rondon,Tara N. Sainath
Zhong Meng,Weiran Wang,Rohit Prabhavalkar,Tara N. Sainath,Tongzhou Chen,Ehsan Variani,Yu Zhang,Bo Li,A. Rosenberg,B. Ramabhadran
Cal Peyser,W. R. Huang,Tara N. Sainath,Rohit Prabhavalkar,M. Picheny,K. Cho
Ke Hu,Tara N. Sainath,Bo Li,Nan Du,Yanping Huang,Andrew M. Dai,Yu Zhang,Rodrigo Cabrera,Z. Chen,Trevor Strohman
Chaoyang Zhang,Bo Li,Tara N. Sainath,Trevor Strohman,Shuo-yiin Chang
Sepand Mavandadi,Bo Li,Chaoyang Zhang,B. Farris,Tara N. Sainath,Trevor Strohman
Tara N. Sainath,Yanzhang He,A. Narayanan,Rami Botros,Weiran Wang,David Qiu,C. Chiu,Rohit Prabhavalkar,Alexander Gruenstein,Anmol Gulati,Bo Li,David Rybach,Emmanuel Guzman,Ian McGraw,James Qin,K. Choromanski,Qiao Liang,R. David,Ruoming Pang,Shuo-yiin Chang,Trevor Strohman,W. R. Huang,Wei Han,Yonghui Wu,Yu Zhang
Hung-yi Lee,Abdel-rahman Mohamed,Shinji Watanabe,Tara N. Sainath,Karen Livescu,Shang-Wen Li,Shu-wen Yang,Katrin Kirchhoff
Tara N. Sainath,Rohit Prabhavalkar,Ankur Bapna,Yu Zhang,Zhouyuan Huo,Zhehuai Chen,Bo Li,Weiran Wang,Trevor Strohman
Abdel-rahman Mohamed,Hung-yi Lee,Lasse Borgholt,Jakob Drachmann Havtorn,Joakim Edin,C. Igel,Katrin Kirchhoff,Shang-Wen Li,Karen Livescu,Lars Maaløe,Tara N. Sainath,Shinji Watanabe
C. Yang,Bo Li,Yu Zhang,Nanxin Chen,Tara N. Sainath,S. M. Siniscalchi,Chin-Hui Lee
W. R. Huang,Shuo-yiin Chang,David Rybach,Rohit Prabhavalkar,Tara N. Sainath,Cyril Allauzen,Cal Peyser,Zhiyun Lu
Chao Zhang,Bo Li,Zhiyun Lu,Tara N. Sainath,Shuo-yiin Chang
Shaojin Ding,Weiran Wang,Ding Zhao,Tara N. Sainath,Yanzhang He,R. David,Rami Botros,Xin Wang,R. Panigrahy,Qiao Liang,Dongseong Hwang,Ian McGraw,Rohit Prabhavalkar,Trevor Strohman
Weiran Wang,Ke Hu,Tara N. Sainath
W. R. Huang,Cal Peyser,Tara N. Sainath,Ruoming Pang,Trevor Strohman,Shankar Kumar
Shuo-yiin Chang,Guru Prakash,Zelin Wu,Qiao Liang,Tara N. Sainath,Bo Li,A. Stambler,Shyam Upadhyay,Manaal Faruqui,Trevor Strohman
Weiran Wang,Tongzhou Chen,Tara N. Sainath,Ehsan Variani,Rohit Prabhavalkar,Ronny Huang,B. Ramabhadran,Neeraj Gaur,Sepand Mavandadi,Cal Peyser,Trevor Strohman,Yanzhang He,David Rybach
C. Zhang,Bo Li,Tara N. Sainath,Trevor Strohman,Sepand Mavandadi,Shuo-yiin Chang,Parisa Haghani
Zhouyuan Huo,K. Sim,Bo Li,DongSeon Hwang,Tara N. Sainath,Trevor Strohman
W. R. Huang,Shuo-yiin Chang,Tara N. Sainath,Yanzhang He,David Rybach,R. David,Rohit Prabhavalkar,Cyril Allauzen,Cal Peyser,Trevor Strohman
Hung-yi Lee,Shinji Watanabe,Karen Livescu,Abdel-rahman Mohamed,Tara N. Sainath
Bo Li,Ruoming Pang,Yu Zhang,Tara N. Sainath,Trevor Strohman,Parisa Haghani,Yun Zhu,B. Farris,Neeraj Gaur,Manasa Prasad
Ke Hu,Tara N. Sainath,A. Narayanan,Ruoming Pang,Trevor Strohman
Bo Li,Tara N. Sainath,Ruoming Pang,Shuo-yiin Chang,Qiumin Xu,Trevor Strohman,Vince Chen,Qiao Liang,Heguang Liu,Yanzhang He,Parisa Haghani,Sameer Bidichandani
Shaan Bijwadia,Shuo-yiin Chang,Bo Li,Tara N. Sainath,Chaoyang Zhang,Yanzhang He
Ke Hu,Tara N. Sainath,Yanzhang He,Rohit Prabhavalkar,Trevor Strohman,Sepand Mavandadi,Weiran Wang
Ke Hu,Bo Li,Tara N. Sainath
Shuo-yiin Chang,Bo Li,Tara N. Sainath,Chaoyang Zhang,Trevor Strohman,Qiao Liang,Yanzhang He
Tara N. Sainath,Yanzhang He,A. Narayanan,Rami Botros,Ruoming Pang,David Rybach,Cyril Allauzen,Ehsan Variani,James Qin,Quoc-Nam Le-The,Shuo-yiin Chang,Bo Li,Anmol Gulati,Jiahui Yu,C. Chiu,D. Caseiro,Wei Li,Qiao Liang,Pat Rondon
W. R. Huang,Tara N. Sainath,Cal Peyser,Shankar Kumar,David Rybach,Trevor Strohman
Weiran Wang,Ke Hu,Tara N. Sainath
Ke Hu,Ruoming Pang,Tara N. Sainath,Trevor Strohman
Yu Zhang,Daniel S. Park,Wei Han,James Qin,Anmol Gulati,Joel Shor,A. Jansen,Yuanzhong Xu,Yanping Huang,Shibo Wang,Zongwei Zhou,Bo Li,Min Ma,William Chan,Jiahui Yu,Yongqiang Wang,Liangliang Cao,K. Sim,B. Ramabhadran,Tara N. Sainath,Franccoise Beaufays,Zhifeng Chen,Quoc V. Le,C. Chiu,Ruoming Pang,Yonghui Wu
H. Shrivastava,Ankush Garg,Yuan Cao,Yu Zhang,Tara N. Sainath
Rami Botros,Tara N. Sainath,R. David,Emmanuel Guzman,Wei Li,Yanzhang He
Sepand Mavandadi,Tara N. Sainath,Ke Hu,Zelin Wu
Bo Li,Ruoming Pang,Tara N. Sainath,Anmol Gulati,Yu Zhang,James Qin,Parisa Haghani,W. R. Huang,Min Ma
Junwen Bai,Bo Li,Yu Zhang,Ankur Bapna,Nikhil Siddhartha,K. Sim,Tara N. Sainath
David Qiu,Qiujia Li,Yanzhang He,Yu Zhang,Bo Li,Liangliang Cao,Rohit Prabhavalkar,Deepti Bhatia,Wei Li,Ke Hu,Tara N. Sainath,Ian McGraw
Rohit Prabhavalkar,Yanzhang He,David Rybach,S. Campbell,A. Narayanan,Trevor Strohman,Tara N. Sainath
Bo Li,Shuo-yiin Chang,Tara N. Sainath,Ruoming Pang,Yanzhang He,Trevor Strohman,Yonghui Wu
C. Chiu,A. Narayanan,Wei Han,Rohit Prabhavalkar,Yu Zhang,N. Jaitly,Ruoming Pang,Tara N. Sainath,Patrick Nguyen,Liangliang Cao,Yonghui Wu
Tara N. Sainath,Yanzhang He,Bo Li,A. Narayanan,Ruoming Pang,A. Bruguier,Shuo-yiin Chang,Wei Li,R. Álvarez,Z. Chen,C. Chiu,David Garcia,Alexander Gruenstein,Ke Hu,Minho Jin,Anjuli Kannan,Qiao Liang,Ian McGraw,Cal Peyser,Rohit Prabhavalkar,G. Pundak,David Rybach,Yuan Shangguan,Y. Sheth,Trevor Strohman,Mirkó Visontai,Yonghui Wu,Yu Zhang,Ding Zhao
Bo Li,Anmol Gulati,Jiahui Yu,Tara N. Sainath,C. Chiu,A. Narayanan,Shuo-yiin Chang,Ruoming Pang,Yanzhang He,James Qin,Wei Han,Qiao Liang,Yu Zhang,Trevor Strohman,Yonghui Wu
Shuo-yiin Chang,Bo Li,David Rybach,Yanzhang He,Wei Li,Tara N. Sainath,Trevor Strohman
Tara N. Sainath,Ruoming Pang,Ron Weiss,Yanzhang He,C. Chiu,Trevor Strohman
Cal Peyser,Tara N. Sainath,G. Pundak
Ke Hu,Tara N. Sainath,Ruoming Pang,Rohit Prabhavalkar
Jiahui Yu,Wei Han,Anmol Gulati,C. Chiu,Bo Li,Tara N. Sainath,Yonghui Wu,Ruoming Pang
Peidong Wang,Tara N. Sainath,Ron J. Weiss
Tara N. Sainath,Ruoming Pang,David Rybach,Basi García,Trevor Strohman
A. Narayanan,Tara N. Sainath,Ruoming Pang,Jiahui Yu,C. Chiu,Rohit Prabhavalkar,Ehsan Variani,Trevor Strohman
Jiahui Yu,C. Chiu,Bo Li,Shuo-yiin Chang,Tara N. Sainath,Yanzhang He,A. Narayanan,Wei Han,Anmol Gulati,Yonghui Wu,Ruoming Pang
Cal Peyser,Sepand Mavandadi,Tara N. Sainath,J. Apfel,Ruoming Pang,Shankar Kumar
Zelin Wu,Bo Li,Yu Zhang,Petar S. Aleksic,Tara N. Sainath
Jiahui Yu,Wei Han,Anmol Gulati,C. Chiu,Bo Li,Tara N. Sainath,Yonghui Wu,Ruoming Pang
Tara N. Sainath,Ruoming Pang,David Rybach,Yanzhang He,Rohit Prabhavalkar,Wei Li,Mirkó Visontai,Qiao Liang,Trevor Strohman,Yonghui Wu,Ian McGraw,C. Chiu
Bo Li,Tara N. Sainath,Ruoming Pang,Zelin Wu
Jinxi Guo,Tara N. Sainath,Ron J. Weiss
Anjuli Kannan,A. Datta,Tara N. Sainath,Eugene Weinstein,B. Ramabhadran,Yonghui Wu,Ankur Bapna,Z. Chen,Seungjin Lee
A. Narayanan,Rohit Prabhavalkar,C. Chiu,David Rybach,Tara N. Sainath,Trevor Strohman
C. Chiu,Wei Han,Yu Zhang,Ruoming Pang,S. Kishchenko,Patrick Nguyen,A. Narayanan,H. Liao,Shuyuan Zhang,Anjuli Kannan,Rohit Prabhavalkar,Z. Chen,Tara N. Sainath,Yonghui Wu
A. Bruguier,Rohit Prabhavalkar,G. Pundak,Tara N. Sainath
H. Purwins,Bo Li,T. Virtanen,Jan Schl&#x00FC;ter,Shuo-yiin Chang,Tara N. Sainath
Shuo-yiin Chang,Rohit Prabhavalkar,Yanzhang He,Tara N. Sainath,Gabor Simko
Cal Peyser,Hao Zhang,Tara N. Sainath,Zelin Wu
Ding Zhao,Tara N. Sainath,David Rybach,Pat Rondon,Deepti Bhatia,Bo Li,Ruoming Pang
Ke Hu,A. Bruguier,Tara N. Sainath,Rohit Prabhavalkar,G. Pundak
Jonathan Shen,Patrick Nguyen,Yonghui Wu,Z. Chen,M. Chen,Ye Jia,Anjuli Kannan,Tara N. Sainath,Yuan Cao,C. Chiu,Yanzhang He,J. Chorowski,Smit Hinsu,Stella Laurenzo,James Qin,Orhan Firat,Wolfgang Macherey,Suyog Gupta,Ankur Bapna,Shuyuan Zhang,Ruoming Pang,Ron J. Weiss,Rohit Prabhavalkar,Qiao Liang,Benoit Jacob,Bowen Liang,HyoukJoong Lee,Ciprian Chelba,Sébastien Jean,Bo Li,Melvin Johnson,Rohan Anil,Rajat Tibrewal,Xiaobing Liu,Akiko Eriguchi,N. Jaitly,Naveen Ari,Colin Cherry,Parisa Haghani,Otavio Good,Youlong Cheng,R. Álvarez,Isaac Caswell,Wei-Ning Hsu,Zongheng Yang,Kuan Wang,Ekaterina Gonina,Katrin Tomanek,Ben Vanik,Zelin Wu,Llion Jones,M. Schuster,Yanping Huang,Dehao Chen,Kazuki Irie,George F. Foster,J. Richardson,Uri Alon,Klaus Macherey,A. Bruguier,H. Zen,Colin Raffel,Shankar Kumar,Kanishka Rao,David Rybach,M. Murray,Vijayaditya Peddinti,M. Krikun,M. Bacchiani,T. Jablin,Robert Suderman,Ian Williams,Benjamin Lee,Deepti Bhatia,Justin Carlson,Semih Yavuz,Yu Zhang,Ian McGraw,M. Galkin,Qi Ge,G. Pundak,Chad Whipkey,Todd Wang,Uri Alon,Dmitry Lepikhin,Ye Tian,S. Sabour,William Chan,Shubham Toshniwal,Baohua Liao,M. Nirschl,Pat Rondon
K. Sim,A. Narayanan,Ananya Misra,Anshuman Tripathi,G. Pundak,Tara N. Sainath,Parisa Haghani,Bo Li,M. Bacchiani
Ian Williams,Anjuli Kannan,Petar S. Aleksic,David Rybach,Tara N. Sainath
Shuo-yiin Chang,Bo Li,Gabor Simko,Tara N. Sainath,Anshuman Tripathi,Aäron van den Oord,Oriol Vinyals
Bo Li,Yu Zhang,Tara N. Sainath,Yonghui Wu,William Chan
Yanzhang He,Tara N. Sainath,Rohit Prabhavalkar,Ian McGraw,R. Álvarez,Ding Zhao,David Rybach,Anjuli Kannan,Yonghui Wu,Ruoming Pang,Qiao Liang,Deepti Bhatia,Yuan Shangguan,Bo Li,G. Pundak,K. Sim,Tom Bagby,Shuo-yiin Chang,Kanishka Rao,Alexander Gruenstein
Ruoming Pang,Tara N. Sainath,Rohit Prabhavalkar,Suyog Gupta,Yonghui Wu,Shuyuan Zhang,C. Chiu
Chanwoo Kim,Tara N. Sainath,A. Narayanan,Ananya Misra,R. Nongpiur,M. Bacchiani
G. Pundak,Tara N. Sainath,Rohit Prabhavalkar,Anjuli Kannan,Ding Zhao
Jahn Heymann,M. Bacchiani,Tara N. Sainath
Tara N. Sainath,C. Chiu,Rohit Prabhavalkar,Anjuli Kannan,Yonghui Wu,Patrick Nguyen,Z. Chen
Shubham Toshniwal,Anjuli Kannan,C. Chiu,Yonghui Wu,Tara N. Sainath,Karen Livescu
Uri Alon,G. Pundak,Tara N. Sainath
Rohit Prabhavalkar,Tara N. Sainath,Yonghui Wu,Patrick Nguyen,Z. Chen,C. Chiu,Anjuli Kannan
Tara N. Sainath,Ron J. Weiss,K. Wilson,Bo Li,A. Narayanan,Ehsan Variani,M. Bacchiani,I. Shafran,A. Senior,K. K. Chin,Ananya Misra,Chanwoo Kim
Bo Li,Tara N. Sainath,A. Narayanan,J. Caroselli,M. Bacchiani,Ananya Misra,I. Shafran,H. Sak,G. Pundak,K. K. Chin,K. Sim,Ron J. Weiss,K. Wilson,Ehsan Variani,Chanwoo Kim,O. Siohan,M. Weintraub,E. McDermott,R. Rose,Matt Shannon
Tara N. Sainath,Vijayaditya Peddinti,O. Siohan,A. Narayanan
Shubham Toshniwal,Tara N. Sainath,Ron J. Weiss,Bo Li,P. Moreno,Eugene Weinstein,Kanishka Rao
Shuo-yiin Chang,Bo Li,Tara N. Sainath,Gabor Simko,Carolina Parada
Anjuli Kannan,Yonghui Wu,Patrick Nguyen,Tara N. Sainath,Z. Chen,Rohit Prabhavalkar
Chanwoo Kim,Ananya Misra,K. K. Chin,Thad Hughes,A. Narayanan,Tara N. Sainath,M. Bacchiani
K. Sim,A. Narayanan,Tom Bagby,Tara N. Sainath,M. Bacchiani
Rohit Prabhavalkar,Kanishka Rao,Tara N. Sainath,Bo Li,Leif M. Johnson,N. Jaitly
Tara N. Sainath,Rohit Prabhavalkar,Shankar Kumar,Seungjin Lee,Anjuli Kannan,David Rybach,Vlad Schogol,Patrick Nguyen,Bo Li,Yonghui Wu,Z. Chen,C. Chiu
Tara N. Sainath,Phu K. Nguyen,D. Zand
C. Chiu,Tara N. Sainath,Yonghui Wu,Rohit Prabhavalkar,Patrick Nguyen,Z. Chen,Anjuli Kannan,Ron J. Weiss,Kanishka Rao,Katya Gonina,N. Jaitly,Bo Li,J. Chorowski,M. Bacchiani
Bo Li,Tara N. Sainath
Rohit Prabhavalkar,Tara N. Sainath,Bo Li,Kanishka Rao,N. Jaitly
Bo Li,Tara N. Sainath,K. Sim,M. Bacchiani,Eugene Weinstein,Patrick Nguyen,Z. Chen,Yan-Qing Wu,Kanishka Rao
Tara N. Sainath,Ron J. Weiss,K. Wilson,A. Narayanan,M. Bacchiani,Bo Li,Ehsan Variani,I. Shafran,A. Senior,K. K. Chin,Ananya Misra,Chanwoo Kim
G. Pundak,Tara N. Sainath
Rubén Zazo-Candil,Tara N. Sainath,Gabor Simko,Carolina Parada
Zhiyun Lu,V. Sindhwani,Tara N. Sainath
Tara N. Sainath,Bo Li
D. Kanevsky,Tara N. Sainath
Tara N. Sainath,A. Narayanan,Ron J. Weiss,Ehsan Variani,K. Wilson,M. Bacchiani,I. Shafran
Tara N. Sainath,Ron J. Weiss,K. Wilson,A. Narayanan,M. Bacchiani
Bo Li,Tara N. Sainath,Ron J. Weiss,K. Wilson,M. Bacchiani
G. Pundak,Tara N. Sainath
Ehsan Variani,Tara N. Sainath,I. Shafran,M. Bacchiani
A. Senior,H. Sak,F. D. C. Quitry,Tara N. Sainath,Kanishka Rao
Rohit Prabhavalkar,R. Álvarez,Carolina Parada,Preetum Nakkiran,Tara N. Sainath
Tara N. Sainath,Ron J. Weiss,K. Wilson,A. Narayanan,M. Bacchiani,A. Senior
Guoguo Chen,Carolina Parada,Tara N. Sainath
Tara N. Sainath,Brian Kingsbury,G. Saon,H. Soltau,Abdel-rahman Mohamed,George E. Dahl,B. Ramabhadran
H. Liao,G. Pundak,O. Siohan,M. K. Carroll,N. Coccaro,Q. Jiang,Tara N. Sainath,A. Senior,F. Beaufays,M. Bacchiani
V. Sindhwani,Tara N. Sainath,Sanjiv Kumar
Tara N. Sainath,Carolina Parada
Tara N. Sainath,Oriol Vinyals,A. Senior,H. Sak
Yu-hsin Chen,I. Lopez-Moreno,Tara N. Sainath,Mirkó Visontai,R. Álvarez,Carolina Parada
Tara N. Sainath,Ron J. Weiss,A. Senior,K. Wilson,Oriol Vinyals
Tara N. Sainath,Vijayaditya Peddinti,Brian Kingsbury,P. Fousek,B. Ramabhadran,D. Nahamoo
Vijayaditya Peddinti,Tara N. Sainath,S. Maymon,B. Ramabhadran,D. Nahamoo,V. Goel
H. Soltau,G. Saon,Tara N. Sainath
Tara N. Sainath,Brian Kingsbury,Abdel-rahman Mohamed,G. Saon,B. Ramabhadran
Po-Sen Huang,H. Avron,Tara N. Sainath,V. Sindhwani,B. Ramabhadran
I. Chung,Tara N. Sainath,B. Ramabhadran,M. Picheny,John A. Gunnels,V. Austel,U. Chaudhari,Brian Kingsbury
Tara N. Sainath,I. Chung,B. Ramabhadran,M. Picheny,John A. Gunnels,Brian Kingsbury,G. Saon,V. Austel,U. Chaudhari
Tara N. Sainath
Tara N. Sainath,D. Kanevsky,D. Nahamoo,B. Ramabhadran,Stephen J. Wright
Tara N. Sainath,L. Horesh,Brian Kingsbury,A. Aravkin,B. Ramabhadran
George E. Dahl,Tara N. Sainath,Geoffrey E. Hinton
Rohit Prabhavalkar,Tara N. Sainath,D. Nahamoo,B. Ramabhadran,D. Kanevsky
Tara N. Sainath,Abdel-rahman Mohamed,Brian Kingsbury,B. Ramabhadran
Tara N. Sainath,Brian Kingsbury,V. Sindhwani,E. Arisoy,B. Ramabhadran
Tara N. Sainath,Brian Kingsbury,H. Soltau,B. Ramabhadran
Tara N. Sainath,Brian Kingsbury,Abdel-rahman Mohamed,George E. Dahl,G. Saon,H. Soltau,T. Beran,A. Aravkin,B. Ramabhadran
Tara N. Sainath,Brian Kingsbury,Abdel-rahman Mohamed,B. Ramabhadran
Jia Cui,Xiaodong Cui,B. Ramabhadran,Janice Kim,Brian Kingsbury,Jonathan Mamou,L. Mangu,M. Picheny,Tara N. Sainath,A. Sethy
Tara N. Sainath,L. Horesh,Brian Kingsbury,A. Aravkin,B. Ramabhadran
Geoffrey E. Hinton,L. Deng,Dong Yu,George E. Dahl,Abdel-rahman Mohamed,N. Jaitly,A. Senior,Vincent Vanhoucke,Patrick Nguyen,Tara N. Sainath,Brian Kingsbury
Tara N. Sainath,Brian Kingsbury,B. Ramabhadran
N. Itoh,Tara N. Sainath,Dan-Ning Jiang,Jie Zhou,B. Ramabhadran
Tara N. Sainath,B. Ramabhadran,D. Nahamoo,D. Kanevsky,Dirk Van Compernolle,Kris Demuynck,J. Gemmeke,J. Bellegarda,Shiva Sundaram
Geoffrey E. Hinton,Liya Deng,Dong Yu,George E. Dahl,Abdel-rahman Mohamed,N. Jaitly,A. Senior,Vincent Vanhoucke,Patrick Nguyen,Tara N. Sainath,Brian Kingsbury
Tara N. Sainath,D. Nahamoo,D. Kanevsky,B. Ramabhadran
E. Arisoy,Tara N. Sainath,Brian Kingsbury,B. Ramabhadran
Christian Plahl,Tara N. Sainath,B. Ramabhadran,D. Nahamoo
Brian Kingsbury,Tara N. Sainath,H. Soltau
D. Kanevsky,J. Kozloski,C. Pickover,Tara N. Sainath
Geoffrey E. Hinton,L. Deng,Dong Yu,George E. Dahl,Abdel-rahman Mohamed,N. Jaitly,A. Senior,Vincent Vanhoucke,Patrick Nguyen,Tara N. Sainath,Brian Kingsbury
Bin Zhang,A. Sethy,Tara N. Sainath,B. Ramabhadran
Tara N. Sainath,D. Nahamoo,B. Ramabhadran,D. Kanevsky,V. Goel,P. Shah
Tara N. Sainath,B. Ramabhadran,M. Picheny,D. Nahamoo,D. Kanevsky
Tara N. Sainath,D. Nahamoo,D. Kanevsky,B. Ramabhadran,P. Shah
Tara N. Sainath,B. Ramabhadran,D. Nahamoo,D. Kanevsky
Abdel-rahman Mohamed,Tara N. Sainath,George E. Dahl,B. Ramabhadran,Geoffrey E. Hinton,M. Picheny
D. Kanevsky,D. Nahamoo,Tara N. Sainath,B. Ramabhadran,P. Olsen
Tara N. Sainath,Brian Kingsbury,B. Ramabhadran,P. Fousek,Petr Novák,Abdel-rahman Mohamed
D. Kanevsky,D. Nahamoo,Tara N. Sainath,B. Ramabhadran
Tara N. Sainath,S. Maskey,D. Kanevsky,B. Ramabhadran,D. Nahamoo,Julia Hirschberg
Tara N. Sainath,B. Ramabhadran,D. Nahamoo,D. Kanevsky,A. Sethy
S. Teller,Matthew R. Walter,Matthew E. Antone,A. Correa,R. Davis,L. Fletcher,Emilio Frazzoli,James R. Glass,J. How,Albert S. Huang,Jeong hwan Jeon,S. Karaman,Brandon Luders,N. Roy,Tara N. Sainath
Tara N. Sainath,D. Nahamoo,B. Ramabhadran,D. Kanevsky
A. Carmi,Tara N. Sainath,P. Gurfil,D. Kanevsky,D. Nahamoo,B. Ramabhadran
D. Kanevsky,Tara N. Sainath,B. Ramabhadran,D. Nahamoo
Tara N. Sainath,A. Carmi,D. Kanevsky,B. Ramabhadran
A. Sethy,Tara N. Sainath,B. Ramabhadran,D. Kanevsky
V. Goel,Tara N. Sainath,B. Ramabhadran,P. Olsen,D. Nahamoo,D. Kanevsky
D. Kanevsky,A. Carmi,L. Horesh,P. Gurfil,B. Ramabhadran,Tara N. Sainath
Tara N. Sainath
Tara N. Sainath
Tara N. Sainath,B. Ramabhadran,M. Picheny
D. Kanevsky,Tara N. Sainath,B. Ramabhadran
Tara N. Sainath,V. Zue
D. Kanevsky,Daniel Povey,B. Ramabhadran,I. Rish,Tara N. Sainath
D. Kanevsky,Tara N. Sainath,B. Ramabhadran,D. Nahamoo
Tara N. Sainath,D. Kanevsky,B. Ramabhadran
D. Kanevsky,Daniel Povey,B. Ramabhadran,Tara N. Sainath
Tara N. Sainath,D. Kanevsky,G. Iyengar
Tara N. Sainath,V. Zue,D. Kanevsky
Tara N. Sainath,D. Kanevsky,B. Ramabhadran
Tara N. Sainath,Timothy J. Hazen
Tara N. Sainath
S. Seshasai,Amar Gupta,Tara N. Sainath
Amar Gupta,S. Seshasai,Jason Yeung,Tara N. Sainath
S. Seshasai,Amar Gupta,Tara N. Sainath
